District Name,Number of Talukas,Area (in sq. km),Population (Census 2011),Population Density (per sq. km),Sex Ratio,Literacy Rate (%),Urban Population (%)
Ahilyanagar,0.875,1,0.43049098,0.009183966,0.368965517,0.574618096,0.12247191
Akola,0.4375,0.326742052,0.112387216,0.011719124,0.393103448,0.927144536,0.370786517
Amravati,0.875,0.713575277,0.237628408,0.007796805,0.410344828,0.900900901,0.279775281
Beed,0.6875,0.623764135,0.202266568,0.008035971,0.289655172,0.493928711,0.1
Bhandara,0.4375,0.232668285,0.040873302,0.010523295,0.517241379,0.759106933,0.095505618
Buldhana,0.8125,0.563850571,0.202407481,0.009231799,0.351724138,0.745005875,0.114606742
Chandrapur,0.9375,0.668166479,0.157889786,0.005692146,0.444827586,0.612220917,0.271910112
Chhatrapati Sambhaji Nagar,0.5625,0.589071103,0.332367339,0.013967282,0.313793103,0.573443008,0.368539326
Dharashiv,0.5,0.438813569,0.09416642,0.006935808,0.317241379,0.550724638,0.06741573
Dhule,0.25,0.4166716,0.140005247,0.010092796,0.393103448,0.329808069,0.231460674
Gadchiroli,0.75,0.84394056,0.026025329,0,0.517241379,0.390912652,0
Gondia,0.5,0.312237286,0.055112983,0.008083804,0.565517241,0.805718762,0.068539326
Hingoli,0.3125,0.258658457,0.038193856,0.008896967,0.379310345,0.540148844,0.047191011
Jalgaon,0.9375,0.687229886,0.393981554,0.013680283,0.320689655,0.541323933,0.23258427
Jalna,0.5,0.447634835,0.129303779,0.008609968,0.362068966,0.280062671,0.093258427
Kolhapur,0.75,0.445681132,0.352731435,0.020568258,0.431034483,0.670975323,0.23258427
Latur,0.625,0.414421881,0.187015203,0.012867119,0.331034483,0.504504505,0.162921348
Mumbai City,0,0,0.247072382,0.901176696,0,0.972581277,1
Mumbai Suburban,0.1875,0.017109703,0.991556171,1,0.096551724,1,1
Nagpur,0.875,0.576342431,0.443359759,0.018941931,0.410344828,0.940462201,0.643820225
Nanded,1,0.613995619,0.292740342,0.011719124,0.382758621,0.433607521,0.182022472
Nandurbar,0.375,0.343259724,0.093084688,0.009710131,0.503448276,0,0.064044944
Nashik,0.9375,0.910129655,0.612783789,0.015258777,0.351724138,0.702311007,0.353932584
Palghar,0.5,0.307086614,0.249478511,0.023246915,0.344827586,0.494320407,0.439325843
Parbhani,0.5625,0.376531881,0.11497237,0.009949297,0.396551724,0.350959655,0.233707865
Pune,0.875,0.916819608,1,0.025303741,0.286206897,0.852722288,0.556179775
Raigad,0.9375,0.414125866,0.207995285,0.014062948,0.437931034,0.734821778,0.156179775
Ratnagiri,0.5625,0.476644367,0.089212084,0.005883478,1,0.707011359,0.059550562
Sangli,0.625,0.498194305,0.229900684,0.012197455,0.462068966,0.669800235,0.162921348
Satara,0.6875,0.611153869,0.251066551,0.010188463,0.537931034,0.724245985,0.12247191
Sindhudurg,0.5,0.298975786,0,0.004257151,0.703448276,0.829612221,0.017977528
Solapur,0.6875,0.87253567,0.40421949,0.010331962,0.365517241,0.495103799,0.240449438
Thane,0.4375,0.240187082,0.848710051,0.088778341,0.186206897,0.789267528,0.741573034
Wardha,0.5,0.364217631,0.052579927,0.006313977,0.393103448,0.885624755,0.241573034
Washim,0.375,0.295601208,0.040503362,0.007557639,0.337931034,0.739130435,0.075280899
Yavatmal,1,0.794801966,0.224096906,0.006218311,0.413793103,0.722287505,0.119101124
