District Name,      
Ahilyanagar,"Area (in sq. km): 17,048
Literacy Rate (%): 79.05
Population : 45,43,159
Population Density (per sq. km): 266
Sex Ratio: 939
Urban Population (%): 21.9	"
Akola,"Area (in sq. km): 5,676
Literacy Rate (%): 88.05
Population : 18,13,906
Population Density (per sq. km): 319
Sex Ratio: 946
Urban Population (%): 44"
Amravati,"Area (in sq. km): 12,210
Literacy Rate (%): 87.38
Population : 28,88,445
Population Density (per sq. km): 237
Sex Ratio: 951
Urban Population (%): 35.9"
Beed,"Area (in sq. km): 10,693
Literacy Rate (%): 76.99
Population : 25,85,049
Population Density (per sq. km): 242
Sex Ratio: 916
Urban Population (%): 19.9"
Bhandara,"Area (in sq. km): 4,087
Literacy Rate (%): 83.76
Population : 12,00,334
Population Density (per sq. km): 294
Sex Ratio: 982
Urban Population (%): 19.5"
Buldhana,"Area (in sq. km): 9,681
Literacy Rate (%): 83.4
Population : 25,86,258
Population Density (per sq. km): 267
Sex Ratio: 934
Urban Population (%): 21.2"
Chandrapur,"Area (in sq. km): 11,443
Literacy Rate (%): 80.01
Population : 22,04,307
Population Density (per sq. km): 193
Sex Ratio: 961
Urban Population (%): 35.2"
Chhatrapati Sambhaji Nagar,"Area (in sq. km): 10,107
Literacy Rate (%): 79.02
Population : 37,01,282
Population Density (per sq. km): 366
Sex Ratio: 923
Urban Population (%): 43.8"
Dharashiv,"Area (in sq. km): 7,569
Literacy Rate (%): 78.44
Population : 16,57,576
Population Density (per sq. km): 219
Sex Ratio: 924
Urban Population (%): 17"
Dhule,"Area (in sq. km): 7,195
Literacy Rate (%): 72.8
Population : 20,50,862
Population Density (per sq. km): 285
Sex Ratio: 946
Urban Population (%): 31.6"
Gadchiroli,"Area (in sq. km): 14,412
Literacy Rate (%): 74.36
Population : 10,72,942
Population Density (per sq. km): 74
Sex Ratio: 982
Urban Population (%): 11"
Gondia,"Area (in sq. km): 5,431
Literacy Rate (%): 84.95
Population : 13,22,507
Population Density (per sq. km): 243
Sex Ratio: 996
Urban Population (%): 17.1"
Hingoli,"Area (in sq. km): 4,526
Literacy Rate (%): 78.17
Population : 11,77,345
Population Density (per sq. km): 260
Sex Ratio: 942
Urban Population (%): 15.2"
Jalgaon,"Area (in sq. km): 11,765
Literacy Rate (%): 78.2
Population : 42,29,917
Population Density (per sq. km): 360
Sex Ratio: 925
Urban Population (%): 31.7"
Jalna,"Area (in sq. km): 7,718
Literacy Rate (%): 71.53
Population : 19,59,046
Population Density (per sq. km): 254
Sex Ratio: 937
Urban Population (%): 19.3"
Kolhapur,"Area (in sq. km): 7,685
Literacy Rate (%): 81.51
Population : 38,76,001
Population Density (per sq. km): 504
Sex Ratio: 957
Urban Population (%): 31.7"
Latur,"Area (in sq. km): 7,157
Literacy Rate (%): 77.26
Population : 24,54,196
Population Density (per sq. km): 343
Sex Ratio: 928
Urban Population (%): 25.5"
Mumbai City,"Area (in sq. km): 157
Literacy Rate (%): 89.21
Population : 29,69,472
Population Density (per sq. km): 18,914
Sex Ratio: 832
Urban Population (%): 100"
